live_id,live_name,cover_path,artist,level,author
JFpkwbzX8toPbMWG,Round and Round,P2wAxnT5pRrp.jpg,Masayoshi Minoshima Feat. 綾倉盟,12,RUKINOSAKI
TRtOyUaCiiaUGBEl,Skyreach,Rs6eoe2KlzrV.jpg,雨宫天,11,天坑君
aFqdZLjOlkdPr34j,Session High⤴ 【MASTER】,O11nkW1wLHcR.jpg,イロドリミドリ,13,施斯・彩璧
eXRYCxisFjw5q34B,永愛プロミス,iD6nuzEm5zWM.jpg,井口裕香,12,かふうちの
mlBnPY8cBrIofIUV,Iudicium “Apocalypsis Mix”,nci4Ntlua8Qo.jpg,Powerless / 歌: 柏木咲姫 (CV: 石見舞菜香) & 柏木美亜 (CV: 和氣あず未),12,施斯・彩璧
QFD01bH2sLYpeQEL,Mike's hope will never die,2DdPGTgjVL9Z.png,AlphaDK,12,Mtn64
iCKjv820IlPAPqrr,Fire me up,RItF4cFAsVk1.jpg,御形アリシアナ (CV: 福原綾香) & 天王洲なずな (CV: 山本彩乃),11,施斯・彩璧
CgYK7P518HqV6fXj,刹那のマシェリ-Hard-,pJuHguTuJbKi.png,GrandMaster,10,MAMUS
oyJlSvCpSfmCpQlJ,【EX-TECHNICAL】金糸雀,n2tVwykneHtf.jpg,Pile,12,洛水涟漪
gnBLfS0dWFXmmUW6,Shiny Smily Story,mwAeYkX53gOu.png,hololive IDOL PROJECT,10,摇曳的窗帘
F6zxQIkpMv8uCCHs,Out Of Control！,KgJ4JNcuK8AR.jpg,ベイリン（CV.芹澤優）,11,MAMUS
hxiBokYPMJCntrYh,キュリオシティ(Curiosity),OJxYUZzpuIKW.png,庭師,13,yuyu0127
LabqC1t53EajVOrZ,私のキ・モ・チ,MiXFbDc6OLO7.png,井上 麻里奈,12,DatMinish
SiEYRwfHKmj2X2Gb,Space Destiny,c0gLtA0EedVZ.jpg,M2U,12,天坑君
s5Hijhi06jsKJKJW,Intersect Thunderbolt-Remix ／ セレスティア・リンドブルム戦 - remix,9RfmYfQ8YSnL.jpg,天然素材,13,oscar865
DxRrdSdeXfyAnAOH,うちはイタチ,BAjVSgVRJIoz.png,高梨康治,10,かふうちの
WTBGJXGDYMJWNIPA,Lunatic Sky,ab8957ac3ee1326f7455a27ca1230289.jpg,M2U,11,天坑君
qdZUhqpZMjksQjiS,Blood teller,M02b6P73tHli.jpg,飛蘭,12,DatMinish
CjsP41dNxbEIkSnu,Too Late Snow,npLGTzaJWrxZ.png,movies (moimoi×Xceon×Dai.),12,歲歲平安
rLFshDDOvjthjVTz,クレッシェンド・ストーリー 【MASTER】,83J9Rj3sYMVQ.jpg,月鈴白奈 (イロドリミドリ),12,施斯・彩璧
enKUslBoCrg5EI4i,届かない星だとしても【自制】,PNrnIvNhVbey.png,Aqours,11,littlefrog
WcSAGmumjuxwAWqi,Black Shout,7Ztm9Il1HbI5.jpg,Roselia,10,野生maki
wknRIzM6EO2T0s2L,私色ギフト,meb3aZaEVvSP.jpg,THE IDOLM@STER CINDERELLA GIRLS,11,cyh0613
